Station expérimentale;Adresse 1;Adresse 2;CP;Ville;Tél;Responsable station;Spécialités;Commentaire
Siège social - Porte Maillot;3 rue Joseph et Marie Hackin;;75116;Paris;Tél. : 01 44 31 10 00;;;
(1) Station Expérimentale Hauts-de-France;2 chaussée Brunehaut;CS 30200 Estrées Mons;80208;Péronne Cedex;Tél. : 03 22 85 75 60;Cyril Hannon;Céréales à paille, Maïs, pommes de terre, lin fibre, stockage pommes de terre (Terres Inovia, Inra, Agro Transfert).;Adresse 2 uniquement, pour envoi postal. Adresse 1 et 2 pour chauffeur
(2) Station Expérimentale Champagne-Ardenne;Route de Suippes;;51000;Châlons-en-Champagne;Tél. : 03 26 64 62 78;Philippe Hauprich;Céréales à paille, expérimentation de longue durée (AREP).;
(3) Station Expérimentale Haute-Normandie;2 chemin du Moulin;;27170;Écardenville-la-Campagne;Tél. : 02 32 07 07 40;Cynthia TORRECILLAS;Céréales à paille, lin fibre.;
(4) Ferme Expérimentale Professionnelle de Lorraine;Station expérimentale Digiferme de Lorraine;16 rue du Moulin de Moncelle;55160;Saint-Hilaire-en-Woëvre;Tél. : 03 29 87 50 23;Pascaline Pierson;Céréales, fourrages et vaches allaitantes.;
(5) Station Expérimentale d’Alsace;2  allée de Herrlisheim;Biopôle - bâtiment Europe;68000;Colmar;Tél. : 03 67 23 01 30;Didier Lasserre;Maïs, blé, maïs semences.;Thomas Munsch responsable station sur l'intranet car pas possible de mettre Didier LASSERRE déjà responsable sur Ste Croix en Plaine
(6) Station Expérimentale Bourgogne Franche-Comté;1 rue des Coulots;;21110;Bretenière;Tél. : 03 80 28 81 85;Diane Chavassieux;Toutes cultures (Terres Inovia, Agronov, Inra).;
(7) Station Expérimentale de Lyon - Saint-Exupéry;241 route de Chapulay;;69330;Pusignan;Tél. : 04 72 23 80 85;Yves Pousset;Toutes cultures, Digifermes® (St Ex Innov, Terres Inovia).;
(8) Station Expérimentale d’Étoile-sur-Rhône;Ferme expérimentale de Marcellas;2485 route des Pécolets;26800;Étoile-sur-Rhône;Tél. : 04 75 60 66 33;Yves Pousset;Toutes cultures, agriculture biologique, production de semences (FNAMS, FNPSMS, chambre d’agriculture de la Drôme).;
(9) Station Expérimentale de Gréoux;Le Plan;Route de Vinon;4800;Gréoux-les-Bains;Tél. : 04 84 47 03 86;Stéphane Jézéquel;Toutes cultures.;
